0.5829664469,0.1027495116,0.0406396501,0.0089128045,0.0067913732,0.0064517274,0.0048057800,0.0044063404,0.0041017239,0.0032892746
0.2592862546,0.1032538712,0.0940703899,0.0731695816,0.0693755969,0.0326786786,0.0238758530,0.0220128000,0.0170678776,0.0139390593
0.9999353886,0.0000527085,0.0000040564,0.0000021149,0.0000015945,0.0000008558,0.0000004934,0.0000003798,0.0000003417,0.0000002402
0.9997177720,0.0001269158,0.0000358340,0.0000198068,0.0000196081,0.0000050517,0.0000046261,0.0000046031,0.0000045751,0.0000040205
0.2255757898,0.1903825849,0.1391668618,0.0426207036,0.0381922014,0.0304833278,0.0235625207,0.0225616340,0.0205686353,0.0203976724
0.9427967072,0.0145404115,0.0060692006,0.0059929341,0.0013809840,0.0010650930,0.0009495927,0.0009028264,0.0008845676,0.0006731161
0.7184517384,0.0089616617,0.0084754108,0.0075166607,0.0069534355,0.0067844256,0.0063646710,0.0056746416,0.0055588926,0.0051990044
0.9961712956,0.0012067549,0.0006042974,0.0003284004,0.0002056681,0.0001636561,0.0001553285,0.0001345929,0.0001165291,0.0000844763
0.9997944236,0.0000880858,0.0000654830,0.0000159855,0.0000115013,0.0000042053,0.0000037002,0.0000024280,0.0000017676,0.0000009090
0.0746635422,0.0302848108,0.0226079617,0.0213610772,0.0150455721,0.0146626858,0.0146000031,0.0142609105,0.0126059037,0.0124847880
0.6460883617,0.0985018238,0.0710991025,0.0433835387,0.0274682492,0.0244651791,0.0178103261,0.0126102036,0.0078583937,0.0050179590
0.2908918560,0.1261497885,0.1018262655,0.0836047754,0.0682038292,0.0626845434,0.0373794921,0.0291150659,0.0247008242,0.0155992489
0.9990252256,0.0002707450,0.0001026294,0.0000475192,0.0000459359,0.0000436844,0.0000390344,0.0000306887,0.0000294846,0.0000286170
0.3381399810,0.1036593318,0.0498411767,0.0290391259,0.0288650971,0.0264850445,0.0181119945,0.0160252638,0.0115310010,0.0094502950
0.9988964796,0.0004988636,0.0002872240,0.0000467835,0.0000313904,0.0000302921,0.0000300617,0.0000257112,0.0000242532,0.0000201354
0.9350971580,0.0036107805,0.0033836982,0.0021719951,0.0015360978,0.0013965626,0.0013855780,0.0012047011,0.0011047091,0.0010652920
0.1500552595,0.0505273677,0.0376134962,0.0275264829,0.0256483536,0.0154651552,0.0131909680,0.0125184460,0.0112968236,0.0107599283
0.9769124985,0.0027488652,0.0025264630,0.0010407731,0.0008161308,0.0004717217,0.0004329270,0.0004180243,0.0003579275,0.0003286920
0.9441973567,0.0405174084,0.0109035531,0.0007098363,0.0004978240,0.0003691802,0.0003285026,0.0002407122,0.0001451415,0.0001302138
0.7239699960,0.2372040004,0.0218615010,0.0100878486,0.0047041788,0.0004240117,0.0002533128,0.0001834883,0.0001702804,0.0001482113
0.9435561895,0.0070118466,0.0040746308,0.0026868342,0.0013474838,0.0012507474,0.0011018089,0.0010103965,0.0009507542,0.0009291695
0.9998082519,0.0001350461,0.0000521341,0.0000019705,0.0000004886,0.0000003384,0.0000002590,0.0000001914,0.0000001418,0.0000001055
0.9918290973,0.0046735597,0.0005042316,0.0004178895,0.0003968333,0.0002971935,0.0002767418,0.0001802360,0.0001432924,0.0001294189
0.9998254180,0.0001746537,0.0000000019,0.0000000007,0.0000000003,0.0000000003,0.0000000001,0.0000000001,0.0000000001,0.0000000000
0.9975513816,0.0002103101,0.0001623057,0.0001447038,0.0001323311,0.0001194076,0.0001142099,0.0000761651,0.0000662635,0.0000494917
0.1377516985,0.0536409281,0.0308224354,0.0288674422,0.0256913267,0.0212991927,0.0179143231,0.0154741975,0.0109849498,0.0109419543
0.8093549609,0.1893275827,0.0009057073,0.0001172362,0.0000904707,0.0000783271,0.0000243694,0.0000184948,0.0000131385,0.0000124173
0.6753844023,0.3135478199,0.0021792892,0.0017246240,0.0011467729,0.0005771084,0.0003892615,0.0003614764,0.0003476274,0.0003383456
0.6021506786,0.1784793288,0.1435474902,0.0254569016,0.0149093140,0.0076794964,0.0070162150,0.0037936082,0.0021831091,0.0016054906
0.3836912513,0.2432824522,0.1267998666,0.0474095307,0.0284235124,0.0046608173,0.0044664354,0.0041802847,0.0036050642,0.0033245853
0.9965963960,0.0002091679,0.0001003660,0.0000903029,0.0000855013,0.0000842149,0.0000794446,0.0000791701,0.0000594071,0.0000572237
