1975,1975,1950,840,757,1926,1105,1401,894,822,1633
794,794,259,872,1835,328,1452,1572,1742,766,1288
885,885,54,86,876,760,1452,937,681,1863,550
1679,1679,1795,1796,930,994,137,780,1466,1482,1079
1143,395,545,838,39,1796,1533,1081,1205,46,541
1095,1095,357,344,1079,1638,1775,295,538,1581,1622
571,571,1733,651,969,378,747,1479,1831,1569,839
1008,1240,1008,425,896,1156,702,1326,895,185,677
115,115,1694,20,967,1664,1431,965,1983,604,1463
906,1958,903,1733,1299,896,1191,1569,1105,839,413
1289,1872,1259,1347,324,409,1813,1242,1437,1874,573
65,65,1904,1818,387,823,965,1885,1297,1191,599
529,529,715,254,1790,1897,1303,841,491,742,1143
1142,1142,1399,352,651,1682,1847,693,458,1944,1459
458,458,393,1346,1947,1188,693,682,1839,1026,1847
837,837,1670,94,1343,1266,1779,843,1773,1009,1303
50,1936,81,272,20,50,1053,1304,780,1334,1889
42,42,58,315,1559,1684,1360,1223,271,1151,167
1027,262,1102,1027,962,1558,1905,1234,1702,35,356
25,584,235,25,983,1650,503,1666,1375,1462,275
110,110,1819,37,881,1547,1526,1809,1421,1154,337
1732,1732,1046,835,144,561,1371,147,658,81,164
1601,1601,1044,1683,490,1258,120,648,1518,945,1487
1256,1256,757,1767,1973,1401,1633,1130,1975,1621,470
1113,1113,1527,332,1640,577,606,1114,1961,1507,1654
275,1545,1392,1210,1375,643,326,1277,689,189,109
813,813,573,1399,203,607,1272,1550,1259,847,1396
1551,1551,1795,1447,1913,1395,1528,982,1796,1679,695
1091,1091,1988,738,1506,1085,1236,146,896,1352,1353
245,927,539,245,1536,631,292,1492,798,1664,1828
827,827,278,42,1418,615,704,134,1983,816,368
1609,1609,1884,1819,138,268,1177,1409,1577,26,1914
1063,1063,350,677,509,505,967,1435,780,869,663
155,885,155,86,1306,54,760,1299,1271,681,782
593,593,154,1338,194,1143,422,631,1092,654,1460
1176,1118,1176,403,1421,1910,1143,1439,469,1725,960
1810,1810,427,1237,731,409,765,1357,1874,109,1872
1972,1972,1295,1038,1118,1512,822,1462,1194,1493,574
562,1017,1918,101,562,64,792,1200,1899,1089,530
674,674,1218,1828,757,1021,1500,1256,1751,1926,508
999,1363,302,1592,874,1025,1414,999,1985,353,981
4,4,1526,1044,1791,1053,1068,1843,1219,958,37
1296,1296,925,1991,604,1517,411,1930,1299,1121,1901
932,574,293,1038,840,743,1472,130,39,1925,1439
1318,1800,1318,1641,1513,1403,139,1395,1223,767,1135
1733,1733,1274,763,1976,1524,1427,1885,1568,955,109
111,111,602,1792,889,422,1777,1558,1416,1841,805
1034,1034,423,260,982,1678,1178,1663,1764,886,1985
1910,1910,649,1982,1491,263,7,246,1538,153,1862
650,650,1360,163,940,1196,1411,1998,1950,1459,1482
1848,735,2,1848,1694,1340,1431,1888,1761,656,38
303,683,1960,1952,1845,303,1320,1747,1443,1781,1675
1264,1264,1912,131,125,1940,29,881,669,662,1366
1332,1967,883,1905,1177,1426,681,160,1348,1884,1509
1578,1578,51,833,1378,344,1987,161,1671,683,922
22,22,506,273,1445,924,696,841,1766,495,1965
1186,1209,1186,488,275,1893,1355,1462,725,1509,647
647,647,584,25,1209,1462,205,1955,235,527,275
1241,904,1587,804,1241,1349,1974,1905,670,1688,1773
889,889,1558,1823,1467,1234,1041,1899,111,1143,1019
159,971,1172,159,1909,277,759,1877,1865,221,1387
1763,1763,572,1478,1983,1224,200,1855,559,1000,1656
1266,997,1266,177,1899,1072,92,1197,417,1003,897
1207,1207,195,276,1780,269,1573,812,1879,347,499
742,1915,742,1245,875,1312,551,1498,491,894,1148
36,1234,1484,1161,422,1823,889,1608,1943,1136,1518
1704,1704,1918,1200,0,801,562,64,1089,1017,1899
372,372,745,321,1595,464,1093,1660,1413,1815,117
175,1275,1939,1668,1080,377,772,320,1667,1673,1907
431,427,494,590,1555,1642,586,1210,731,704,377
1867,1867,1590,144,1721,54,722,164,307,913,550
748,940,748,47,1459,727,1108,1591,1414,650,850
936,144,958,69,937,240,378,1299,991,897,271
63,24,454,975,769,303,1563,776,1443,1216,1309
1865,207,418,1865,792,1685,348,1329,607,1455,821
982,1367,1058,40,35,767,1680,1332,319,8,1800
699,590,1502,630,1087,699,1651,704,1956,586,769
1989,1989,1310,271,28,319,1464,1616,424,1539,320
527,527,1519,99,1915,385,1568,1100,278,647,1629
1945,1945,1877,1531,918,1648,369,329,190,1520,618
1807,1807,351,1016,1942,1742,346,1555,1218,1797,1902
904,904,670,1905,1587,1426,972,1688,705,577,728
393,393,458,1346,1832,380,714,1839,887,80,1847
37,37,758,1979,1338,1494,437,1341,186,465,188
1301,316,142,555,1301,683,598,536,464,1686,372
615,615,344,816,1179,1638,1079,624,853,1675,1578
1853,1853,1415,1526,272,1976,979,1055,1493,109,1844
642,642,1509,239,1590,969,451,287,1119,1831,1629
169,1479,1392,19,189,718,109,1526,1929,1210,747
1066,1066,1501,1665,1453,998,597,617,1273,1585,748
1782,1782,1536,516,1950,786,22,1638,621,1891,274
1726,1726,1105,1337,150,1545,20,1277,1068,287,1242
975,776,1698,975,750,408,339,1477,454,184,1254
1366,1357,1366,1237,165,1874,1982,1526,831,1295,1116
306,306,865,28,623,1548,1863,1817,237,549,378
277,277,971,70,778,751,1172,221,1232,759,1404
976,976,592,1211,1056,964,1894,1755,83,1932,933
638,1392,394,291,1479,964,189,19,741,1929,747
1362,1819,1362,1896,551,110,465,1177,1128,1527,1112
1542,1224,1478,926,1542,609,453,1325,480,1173,163
1024,378,913,144,1590,28,164,1024,991,722,54
968,968,1835,992,1973,330,1953,1278,266,745,1529
1718,1718,966,1465,951,252,268,1257,1637,654,1068
1881,1881,479,1476,1828,1196,1064,909,1965,723,1173
1533,1533,1796,161,778,24,454,1564,483,1222,444
1643,1643,823,1320,1635,218,384,1729,175,65,1158
1283,1283,431,970,1834,787,1144,103,1647,1719,1729
744,744,1479,1148,689,1599,488,1498,1044,1427,1047
330,330,941,932,1436,1222,1351,838,1263,1241,1443
1884,845,1779,303,815,968,1805,370,1032,1701,1815
1695,1695,269,1032,685,1022,1030,791,1157,1207,653
1920,1920,74,1293,318,1426,755,125,419,1173,379
440,440,749,1278,595,872,745,1741,1894,1292,948
1177,1177,1479,1526,1819,1392,160,1493,155,718,1929
1385,1385,971,277,1609,1896,1602,1773,221,1034,1303
515,515,364,542,947,503,1226,685,1709,1480,1383
128,522,128,1526,1409,238,160,1739,1177,837,964
213,213,303,939,697,995,332,41,743,1406,1805
1919,1503,933,1788,1923,559,1122,1415,1739,272,1154
987,987,1082,412,532,382,590,544,630,910,1723
1464,1464,1989,1310,335,1987,1736,921,1058,1078,1738
516,516,435,131,1782,167,1438,1639,119,412,816
772,772,1907,241,112,367,1667,364,947,1320,1101
30,30,864,108,1001,1299,104,1519,585,400,872
605,1733,1569,413,1633,1580,605,1274,109,965,1249
389,389,79,1204,1584,1623,912,60,813,943,21
105,105,435,834,163,167,1277,1584,1555,200,765
1671,1671,1593,1578,1368,1225,936,1670,850,1615,1403
922,1657,1895,394,1392,99,292,1479,819,1646,573
858,858,215,60,1613,1976,1992,1553,1836,475,1098
1861,457,1861,258,227,1288,1955,1562,1298,681,55
304,1569,1733,965,413,1633,109,605,1274,1580,304
1071,1595,1805,1124,805,149,1071,372,745,213,1450
1307,1307,568,1390,364,1794,1768,1598,1541,234,1905
1450,1450,943,1071,1630,632,210,836,1941,814,231
715,1162,1791,1342,1485,715,21,1271,1710,728,1767
1744,1744,1188,1930,925,738,820,1631,1749,290,443
940,940,748,650,1459,640,47,1665,430,727,318
1900,1900,1202,1972,1911,875,1552,158,574,198,220
1712,1712,498,55,1895,151,1657,1664,1428,31,293
1006,1006,1297,1418,973,65,965,103,1191,823,985
231,231,691,132,1089,0,1630,79,455,1379,607
80,80,950,18,779,708,1767,859,1847,81,452
1766,1766,1641,171,1746,477,1009,1976,1137,843,1870
1413,1413,1416,316,604,1124,1210,470,1138,511,149
519,1053,272,625,1567,580,1519,1149,1936,1147,1674
1682,1682,1023,1391,805,622,1216,636,483,754,1124
989,989,415,1641,1096,227,1394,258,204,1007,345
1337,1337,1068,180,1728,1577,939,1115,1726,1684,131
1344,1344,1477,1118,1340,737,1706,222,1355,972,1666
1403,1318,1378,911,767,1395,483,305,73,1290,727
220,220,1693,1831,1177,1465,1055,337,837,1129,1525
946,1023,1196,1671,636,753,1945,624,1682,1849,1952
